,State,PC No.,PC Name,PC Type,Winner Candidates,winner Party,Votes,Runner-Up,Party,Votes
197,Kerala,5,Kozhikode,GEN,M .K Raghavan,INC,397615,A.Vijayaraghavan,CPM,380732
198,Kerala,6,Malappuram,GEN,E. Ahamed,IUML,437723,P.K.Sainaba,CPM,242984
199,Kerala,7,Ponnani,GEN,E. T. Mohammed Basheer,IUML,378503,V.Abdurahman,IND,353093
200,Kerala,8,Palakkad,GEN,M B Rajesh,CPM,412897,M P Veerendrakumar,SJ(D),307597
201,Kerala,9,Alathur,(SC),P.K.Biju,CPM,411808,Sheeba K.A,INC,374496
202,Kerala,10,Thrissur,GEN,C. N. Jayadevan,CPI,389209,K. P. Dhanapalan,INC,350982
203,Kerala,11,Chalakudy,GEN,Innocent,IND,358440,P C Chacko,INC,344556
204,Kerala,12,Ernakulam,GEN,Prof. K.V. Thomas,INC,353841,Christy Fernandez,IND,266794
205,Kerala,13,Idukki,GEN,Adv.Joice George,IND,382019,Adv.Dean Kuriakose,INC,331477
206,Kerala,14,Kottayam,GEN,Jose K. Mani,KC(M),424194,Adv.Mathew T. Thomas,JD(S),303595
207,Kerala,15,Alappuzha,GEN,K C Venugopal,INC,462525,C B Chandrababu,CPM,443118
208,Kerala,16,Mavelikkara,(SC),Kodikunnil Suresh,INC,402432,Chengara Surendran,CPI,369695
209,Kerala,17,Pathanamthitta,GEN,Anto Antony,INC,358842,Adv. Peelipose Thomas,IND,302651
210,Kerala,18,Kollam,GEN,N.K.Premachandran,RSP,408528,M.A. Baby,CPM,370879
211,Kerala,19,Attingal,GEN,Dr.A .Sampath,CPM,392478,Adv.Bindhu Krishna,INC,323100
212,Kerala,20,Thiruvananthapuram,GEN,Dr. Shashi Tharoor,INC,297806,Sri. O Rajagopal,BJP,282336
213,Lakshadweep,1,Lakshadweep,(ST),Mohammed Faizal P.P.,NCP,21665,Hamdullah Sayeed,INC,20130
214,Madhya Pradesh,1,Morena,GEN,Anoop Mishra,BJP,375567,Brindawan Singh Sikarwar,BSP,242586
215,Madhya Pradesh,2,Bhind,(SC),Dr. Bhagirath Prasad,BJP,404474,Imarti Devi,INC,244513
216,Madhya Pradesh,3,Gwalior,GEN,Narendra Singh Tomar,BJP,442796,Ashok Singh,INC,413097
217,Madhya Pradesh,4,Guna,GEN,Jyotiraditya M Scindia,INC,517036,Jaibhansingh Pawaiya,BJP,396244
218,Madhya Pradesh,5,Sagar,GEN,Laxmi Narayan Yadav,BJP,482580,Govind Singh Rajput,INC,361843
219,Madhya Pradesh,6,Tikamgarh,(SC),Dr. Virendra Kumar,BJP,422979,Ahirwar Dr. Kamlesh Verma,INC,214248
220,Madhya Pradesh,7,Damoh,GEN,Prahalad Singh Patel,BJP,513079,Choudhary Mahendra Pratap Singh,INC,299780
221,Madhya Pradesh,8,Khajuraho,GEN,Nagendra Singh,BJP,474966,Raja Pateria,INC,227476
222,Madhya Pradesh,9,Satna,GEN,Ganesh Singh,BJP,375288,Ajay Singh Rahul Bhaiyya,INC,366600
223,Madhya Pradesh,10,Rewa,GEN,Janardan Mishra,BJP,383320,Sunderlal Tiwari,INC,214594
224,Madhya Pradesh,11,Sidhi,GEN,Riti Pathak,BJP,475678,Indrajeet Kumar,INC,367632
225,Madhya Pradesh,12,Shahdol,(ST),Dalpat Singh Paraste,BJP,525419,Rajesh Nandini Singh,INC,284118
226,Madhya Pradesh,13,Jabalpur,GEN,Rakesh Singh,BJP,564609,Vivek Krishna Tankha,INC,355970
227,Madhya Pradesh,14,Mandla,(ST),Faggan Singh Kulaste,BJP,585720,Omkar Singh Markam,INC,475251
228,Madhya Pradesh,15,Balaghat,GEN,Bodhsingh Bhagat,BJP,480594,Hina Likhiram Kawre,INC,384553
229,Madhya Pradesh,16,Chhindwara,GEN,Kamal Nath,INC,559755,Choudhary Chandrabhan Kuber Singh,BJP,443218
