,No.,Name,Type,Candidate,Party,Votes (Vote%),Candidate.1,Party.1,Votes (Vote%).1,Margin,Margin %,State
80,39,Nawada,GEN,Chandan Singh,Lok Janshakti Party,"4,95,684",Vibha Devi,Rashtriya Janata Dal,"3,47,612","1,48,072",,Bihar
81,40,Jamui,(SC),Chirag Paswan,Lok Janshakti Party,"5,29,134",Bhudeo Choudhary,Rashtriya Lok Samta Party,"2,88,085","2,41,049",,Bihar
82,1,Chandigarh,GEN,Kirron Kher,Bharatiya Janata Party,"2,31,188",Pawan Kumar Bansal,INC,"1,84,218","46,970",,Chandigarh
83,1,Sarguja,(ST),Renuka Singh,Bharatiya Janata Party,"6,63,711",Khel Sai Singh,INC,"5,05,838","1,57,873",,Chhattisgarh
84,2,Raigarh,(ST),Gomati Sai,Bharatiya Janata Party,"6,58,335",Laljeet Singh Rathia,INC,"5,92,308","66,027",,Chhattisgarh
85,3,Janjgir-Champa,(SC),Guharam Ajgalley,Bharatiya Janata Party,"5,72,790",Ravi Parasram Bhardwaj,INC,"4,89,535","83,255",,Chhattisgarh
86,4,Korba,GEN,Jyotsna Mahant,INC,"5,23,410",Jyoti Nand Dubey,Bharatiya Janata Party,"4,97,061","26,349",,Chhattisgarh
87,5,Bilaspur,GEN,Arun Sao,Bharatiya Janata Party,"6,34,559",Atal Srivastav,INC,"4,92,796","1,41,763",,Chhattisgarh
88,6,Rajnandgaon,GEN,Santosh Pandey,Bharatiya Janata Party,"6,62,387",Bhola Ram Sahu,INC,"5,50,421","1,11,966",,Chhattisgarh
89,7,Durg,GEN,Vijay Baghel,Bharatiya Janata Party,"8,49,374",Pratima Chandrakar,INC,"4,57,396","3,91,978",,Chhattisgarh
90,8,Raipur,GEN,Sunil Kumar Soni,Bharatiya Janata Party,"8,37,902",Pramod Dubey,INC,"4,89,664","3,48,238",,Chhattisgarh
91,9,Mahasamund,GEN,Chunni Lal Sahu,Bharatiya Janata Party,"6,16,580",Dhanendra Sahu,INC,"5,26,069","90,511",,Chhattisgarh
92,10,Bastar,(ST),Deepak Baij,INC,"4,02,527",Baiduram Kashyap,Bharatiya Janata Party,"3,63,545","38,982",,Chhattisgarh
93,11,Kanker,(ST),Mohan Mandavi,Bharatiya Janata Party,"5,46,233",Biresh Thakur,INC,"5,39,319","6,914",,Chhattisgarh
94,1,Dadra And Nagar Haveli,(ST),Mohanbhai Delkar,Independent,"90,421",Natubhai Patel,Bharatiya Janata Party,"81,420","9,001",,Dadra and Nagar Haveli and Daman and Diu
95,1,Daman And Diu,GEN,Lalubhai Patel,Bharatiya Janata Party,"37,597",Dahyabhai Patel,INC,"27,655","9,942",,Dadra and Nagar Haveli and Daman and Diu
