,No.,Name,Type,Candidate,Party,Votes (Vote%),Candidate.1,Party.1,Votes (Vote%).1,Margin,Margin %,State
497,2,Garhwal,GEN,Tirath Singh Rawat,BJP,"5,06,980",Manish Khanduri,INC,"2,04,311","3,02,669",,Uttarakhand
498,3,Almora,(SC),Ajay Tamta,BJP,"4,44,651",Pradeep Tamta,INC,"2,11,665","2,32,986",,Uttarakhand
499,4,Nainital–Udhamsingh Nagar,GEN,Ajay Bhatt,BJP,"7,72,195",Harish Rawat,INC,"4,33,099","3,39,096",,Uttarakhand
500,5,Haridwar,GEN,Ramesh Pokhriyal,BJP,"6,65,674",Ambrish Kumar,INC,"4,06,945","2,58,729",,Uttarakhand
501,1,Cooch Behar,(SC),Nisith Pramanik,BJP,"7,31,594",Adhikari Paresh Chandra,TMC,"6,77,363","54,231",,West Bengal
502,2,Alipurduars,(SC),John Barla,BJP,"7,50,804",Dasrath Tirkey,TMC,"5,06,815","2,43,989",,West Bengal
503,3,Jalpaiguri,(SC),Jayanta Kumar Roy,BJP,"7,60,145",Bijoy Chandra Barman,TMC,"5,76,141","1,84,004",,West Bengal
504,4,Darjeeling,GEN,Raju Singh Bisht,BJP,"7,50,067",Amar Singh Rai,TMC,"3,36,624","4,13,443",,West Bengal
505,5,Raiganj,GEN,Debasree Chaudhuri,BJP,"5,11,652",Kanaiyalal Agarwal,TMC,"4,51,078","60,574",,West Bengal
506,6,Balurghat,GEN,Sukanta Majumder,BJP,"5,39,317",Arpita Ghosh,TMC,"5,06,024","33,293",,West Bengal
507,7,Maldaha Uttar,GEN,Khagen Murmu,BJP,"5,09,524",Mausam Noor,TMC,"4,25,236","84,288",,West Bengal
508,8,Maldaha Dakshin,GEN,Abu Hasem Khan Choudhury,INC,"4,44,270",Sreerupa Mitra Chaudhury,BJP,"4,36,048","8,222",,West Bengal
509,9,Jangipur,GEN,Khalilur Rahman,TMC,"5,62,838",Mafuja Khatun,BJP,"3,17,056","2,45,782",,West Bengal
510,10,Baharampur,GEN,Adhir Ranjan Chowdhury,INC,"5,91,106",Apurba Sarkar,TMC,"5,10,410","80,696",,West Bengal
511,11,Murshidabad,GEN,Abu Taher Khan,TMC,"6,04,346",Abu Hena,INC,"3,77,929","2,26,417",,West Bengal
512,12,Krishnanagar,GEN,Mahua Moitra,TMC,"6,14,872",Kalyan Chaubey,BJP,"5,51,654","63,218",,West Bengal
513,13,Ranaghat,(SC),Jagannath Sarkar,BJP,"7,83,253",Rupali Biswas,TMC,"5,49,825","2,33,428",,West Bengal
514,14,Bangaon,(SC),Shantanu Thakur,BJP,"6,87,622",Mamata Bala Thakur,TMC,"5,76,028","1,11,594",,West Bengal
515,15,Barrackpore,GEN,Arjun Singh,BJP,"4,72,994",Dinesh Trivedi,TMC,"4,58,137","14,857",,West Bengal
516,16,Dum Dum,GEN,Saugata Roy,TMC,"5,12,062",Samik Bhattacharya,BJP,"4,59,060","53,002",,West Bengal
517,17,Barasat,GEN,Kakali Ghosh Dastidar,TMC,"6,48,084",Mrinal Kanti Debnath,BJP,"5,38,101","1,09,983",,West Bengal
518,18,Basirhat,GEN,Nusrat Jahan,TMC,"7,82,078",Sayantan Basu,BJP,"4,31,709","3,50,369",,West Bengal
519,19,Jaynagar,(SC),Pratima Mondal,TMC,"7,61,202",Ashok Kandary,BJP,"4,44,427","3,16,775",,West Bengal
520,20,Mathurapur,(SC),Choudhury Mohan Jatua,TMC,"7,26,828",Shyama Prasad Halder,BJP,"5,22,854","2,03,974",,West Bengal
521,21,Diamond Harbour,GEN,Abhishek Banerjee,TMC,"7,91,127",Nilanjan Roy,BJP,"4,70,533","3,20,594",,West Bengal
522,22,Jadavpur,GEN,Mimi Chakraborty,TMC,"6,88,472",Anupam Hazra,BJP,"3,93,233","2,95,239",,West Bengal
523,23,Kolkata Dakshin,GEN,Mala Roy,TMC,"5,73,119",Chandra Kumar Bose,BJP,"4,17,927","1,55,192",,West Bengal
524,24,Kolkata Uttar,GEN,Sudip Bandyopadhyay,TMC,"4,74,891",Rahul Sinha,BJP,"3,47,796","1,27,095",,West Bengal
525,25,Howrah,GEN,Prasun Banerjee,TMC,"5,76,711",Rantidev Sen Gupta,BJP,"4,73,016","1,03,695",,West Bengal
526,26,Uluberia,GEN,Sajda Ahmed,TMC,"6,94,945",Joy Banerjee,BJP,"4,79,586","2,15,359",,West Bengal
527,27,Serampore,GEN,Kalyan Banerjee,TMC,"6,37,707",Debjit Sarkar,BJP,"5,39,171","98,536",,West Bengal
528,28,Hooghly,GEN,Locket Chatterjee,BJP,"6,71,448",Ratna De,TMC,"5,98,086","73,362",,West Bengal
529,29,Arambagh,(SC),Aparupa Poddar,TMC,"6,49,929",Tapan Kumar Ray,BJP,"6,48,787","1,142",,West Bengal
530,30,Tamluk,GEN,Dibyendu Adhikari,TMC,"7,24,433",Sidhartha Shankar Naskar,BJP,"5,34,268","1,90,165",,West Bengal
531,31,Kanthi,GEN,Sisir Adhikari,TMC,"7,11,872",Debasish Samanta,BJP,"6,00,204","1,11,668",,West Bengal
532,32,Ghatal,GEN,Deepak Adhikari (Dev),TMC,"7,17,959",Bharati Ghosh,BJP,"6,09,986","1,07,973",,West Bengal
533,33,Jhargram,(ST),Kumar Hembram,BJP,"6,26,583",Birbaha Saren,TMC,"6,14,816","11,767",,West Bengal
534,34,Medinipur,GEN,Dilip Ghosh,BJP,"6,85,433",Manas Bhunia,TMC,"5,96,481","88,952",,West Bengal
535,35,Purulia,GEN,Jyotirmoy Singh Mahato,BJP,"6,68,107",Mriganko Mahato,TMC,"4,63,375","2,04,732",,West Bengal
536,36,Bankura,GEN,Subhash Sarkar,BJP,"6,75,319",Subrata Mukherjee,TMC,"5,00,986","1,74,333",,West Bengal
537,37,Bishnupur,(SC),Saumitra Khan,BJP,"6,57,019",Shyamal Santra,TMC,"5,78,972","78,047",,West Bengal
538,38,Bardhaman Purba,(SC),Sunil Kumar Mondal,TMC,"6,40,834",Paresh Chandra Das,BJP,"5,51,523","89,311",,West Bengal
539,39,Bardhaman-Durgapur,GEN,S. S. Ahluwalia,BJP,"5,98,376",Mamtaz Sanghamita,TMC,"5,95,937","2,439",,West Bengal
540,40,Asansol,GEN,Babul Supriyo,BJP,"6,33,378",Moon Moon Sen,TMC,"4,35,741","1,97,637",,West Bengal
541,41,Bolpur,(SC),Asit Kumar Mal,TMC,"6,99,171",Ramprasad Das,BJP,"5,92,769","1,06,402",,West Bengal
542,42,Birbhum,GEN,Shatabdi Roy,TMC,"6,54,077",Dudh Kumar Mondal,BJP,"5,65,153","88,924",,West Bengal
