,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Votes,Margin Votes,Year
132,132,Haryana,2,Kurukshetra,GEN,Raj Kumar Saini,BJP,418112,Balbir Singh Saini,INLD,288376,129736,2014
133,133,Haryana,3,Sirsa,SC,Charanjeet Singh Rori,INLD,506370,Ashok Tanwar,INC,390634,115736,2014
134,134,Haryana,4,Hisar,GEN,Dushyant Chautala,INLD,494478,Kuldeep Bishnoi,HJC (BL),462631,31847,2014
135,135,Haryana,5,Karnal,GEN,Ashwini Kumar,BJP,594817,Arvind Kumar Sharma,INC,234670,360147,2014
136,136,Haryana,6,Sonipat,GEN,Ramesh Chander,BJP,347203,Jagbir Singh Malik,INC,269789,77414,2014
137,137,Haryana,7,Rohtak,GEN,Deepender Singh Hooda,INC,490063,Om Parkash Dhankar,BJP,319436,170627,2014
138,138,Haryana,8,Bhiwani-Mahendragarh,GEN,Dharambir S/O Bhale Ram,BJP,404542,Bahadur Singh,INLD,275148,129394,2014
139,139,Haryana,9,Gurgaon,GEN,Inderjit Singh Rao,BJP,644780,Zakir Hussain,INLD,370058,274722,2014
140,140,Haryana,10,Faridabad,GEN,Krishan Pal,BJP,652516,Avtar Singh Bhadana,INC,185643,466873,2014
141,141,Himachal Pradesh,1,Kangra,GEN,Shanta Kumar,BJP,456163,Chander Kumar,INC,286091,170072,2014
142,142,Himachal Pradesh,2,Mandi,GEN,Ram Swaroop Sharma,BJP,362824,Pratibha Singh,INC,322968,39856,2014
143,143,Himachal Pradesh,3,Hamirpur,GEN,Anurag Singh Thakur,BJP,448035,Rajinder Singh Rana,INC,349632,98403,2014
144,144,Himachal Pradesh,4,Shimla,SC,Virender Kashyap,BJP,385973,Mohan Lal Brakta,INC,301786,84187,2014
145,145,Jammu And Kashmir,1,Baramulla,GEN,Muzaffar Hussain Baig,PDP,175277,Sharief Ud-Din Shariq,JKNPP,146058,29219,2014
146,146,Jammu And Kashmir,2,Srinagar,GEN,Tariq Hameed Karra,PDP,157923,Farooq Abdullah,JKNPP,115643,42280,2014
147,147,Jammu And Kashmir,3,Anantnag,GEN,Mehbooba Mufti,PDP,200429,Mirza Mehboob Beg,JKNPP,135012,65417,2014
148,148,Jammu And Kashmir,4,Ladakh,ST,Thupstan Chhewang,BJP,31111,Ghulam Raza,IND,31075,36,2014
149,149,Jammu And Kashmir,5,Udhampur,GEN,Dr. Jitendra Singh,BJP,487369,Ghulam Nabi Azad,INC,426393,60976,2014
150,150,Jammu And Kashmir,6,Jammu,GEN,Jugal Kishore,BJP,619995,Madan Lal Sharma,INC,362715,257280,2014
151,151,Jharkhand,1,Rajmahal,ST,Vijay Kumar Hansdak,JMM,379507,Hemlal Murmu,BJP,338170,41337,2014
152,152,Jharkhand,2,Dumka,ST,Shibu Soren,JMM,335815,Sunil Soren,BJP,296785,39030,2014
153,153,Jharkhand,3,Godda,GEN,Nishikant Dubey,BJP,380500,Furkan Ansari,INC,319818,60682,2014
154,154,Jharkhand,4,Chatra,GEN,Sunil Kumar Singh,BJP,295862,Dhiraj Prasad Sahu,INC,117836,178026,2014
155,155,Jharkhand,5,Kodarma,GEN,Ravindra Kr. Ray,BJP,365410,Rajkumar Yadav,CPI(ML)(L),266756,98654,2014
156,156,Jharkhand,6,Giridih,GEN,Ravindra Kumar Pandey,BJP,391913,Jagarnath Mahto,JMM,351600,40313,2014
157,157,Jharkhand,7,Dhanbad,GEN,Pashupati Nath Singh,BJP,543491,Ajay Kumar Dubey,INC,250537,292954,2014
158,158,Jharkhand,8,Ranchi,GEN,Ram Tahal Choudhary,BJP,448729,Subodh Kant Sahay,INC,249426,199303,2014
159,159,Jharkhand,9,Jamshedpur,GEN,Bidyut Baran Mahato,BJP,464153,Ajay Kumar,JVM(P),364277,99876,2014
160,160,Jharkhand,10,Singhbhum,SC,Laxman Giluwa,BJP,303131,Geeta Kora,JBSP,215607,87524,2014
161,161,Jharkhand,11,Khunti,ST,Karia Munda,BJP,269185,Anosh Ekka,JKP,176937,92248,2014
162,162,Jharkhand,12,Lohardaga,ST,Sudarshan Bhagat,BJP,226666,Rameshwar Oraon,INC,220177,6489,2014
163,163,Jharkhand,13,Palamu,SC,Vishnu Dayal Ram,BJP,476513,Manoj Kumar,RJD,212571,263942,2014
164,164,Jharkhand,14,Hazaribagh,GEN,Jayant Sinha,BJP,406931,Saurabh Narain Singh,INC,247803,159128,2014
165,165,Karnataka,1,Chikkodi,GEN,Prakash Babanna Hukkeri,INC,474373,Katti Ramesh Vishwanath,BJP,471370,3003,2014
166,166,Karnataka,2,Belgaum,GEN,Angadi Suresh Channabasappa,BJP,554417,Laxmi R. Hebbalkar,INC,478557,75860,2014
167,167,Karnataka,3,Bagalkot,GEN,Gaddigoudar Parvtagouda Chandanagouda,BJP,571548,Ajay Kumar Sarnaik,INC,454988,116560,2014
168,168,Karnataka,4,Bijapur,SC,Ramesh Jigajinagi,BJP,471757,Prakash Rathod,INC,401938,69819,2014
169,169,Karnataka,5,Gulbarga,SC,Mallikarjun Kharge,INC,507193,Revunaik Belamagi,BJP,432460,74733,2014
170,170,Karnataka,6,Raichur,ST,B.V.Nayak,INC,443659,Arakera Shivanagouda Nayak,BJP,442160,1499,2014
171,171,Karnataka,7,Bidar,GEN,Bhagwanth Khuba,BJP,459290,N. Dharam Singh,INC,367068,92222,2014
172,172,Karnataka,8,Koppal,GEN,Karadi Sanganna Amarappa,BJP,486383,Basavaraj Hitnal,INC,453969,32414,2014
173,173,Karnataka,9,Bellary,ST,B. Sreeramulu,BJP,534406,N.Y. Hanumantappa,INC,449262,85144,2014
174,174,Karnataka,10,Haveri,GEN,Udasi Shivakumar Channabasappa,BJP,566790,Saleem Ahmed,INC,479219,87571,2014
175,175,Karnataka,11,Dharwad,GEN,Pralhad Joshi,BJP,545395,Vinay Kulkarni,INC,431738,113657,2014
176,176,Karnataka,12,Uttara Kannada,GEN,Anantkumar Hegde,BJP,546939,Prashant R Deshpande,INC,406239,140700,2014
177,177,Karnataka,13,Davanagere,GEN,G M Siddeshwara,BJP,518894,S.S. Mallikarjun,INC,501287,17607,2014
178,178,Karnataka,14,Shimoga,GEN,B. S. Yeddyurappa,BJP,606216,Manjunath Bhandary,INC,242911,363305,2014
179,179,Karnataka,15,Udupi Chikmagalur,GEN,Shobha Karandlaje,BJP,581168,K Jayaprakash Hegde,INC,399525,181643,2014
180,180,Karnataka,16,Hassan,GEN,H.D. Devegowda,JD(S),509841,Manju. A.,INC,409379,100462,2014
181,181,Karnataka,17,Dakshina Kannada,GEN,Nalin Kumar Kateel,BJP,642739,Janardhana Poojary,INC,499030,143709,2014
182,182,Karnataka,18,Chitradurga,SC,B.N.Chandrappa,INC,467511,Janardhana Swamy,BJP,366220,101291,2014
183,183,Karnataka,19,Tumkur,GEN,Muddahanumegowda.S.P.,INC,429868,G.S.Basavaraj,BJP,355827,74041,2014
184,184,Karnataka,20,Mandya,GEN,C.S.Puttaraju,JD(S),524370,Ramya,INC,518852,5518,2014
185,185,Karnataka,21,Mysore,GEN,Prathap Simha,BJP,503908,Adagooru H Vishwanath,INC,472300,31608,2014
186,186,Karnataka,22,Chamarajanagar,SC,R. Dhruvanarayana,INC,567782,A. R. Krishna Murthy,BJP,426600,141182,2014
187,187,Karnataka,23,Bangalore Rural,GEN,D K Suresh,INC,652723,Muniraju Gowda . P,BJP,421243,231480,2014
188,188,Karnataka,24,Bangalore North,GEN,D.V Sadananda Gowda,BJP,718326,C.Narayana Swamy,INC,488562,229764,2014
189,189,Karnataka,25,Bangalore Central,GEN,P.C. Mohan,BJP,557130,Rizwan Arshad,INC,419630,137500,2014
190,190,Karnataka,26,Bangalore South,GEN,Ananth Kumar,BJP,633816,Nandan Nilekani,INC,405241,228575,2014
191,191,Karnataka,27,Chikkaballapur,GEN,M Veerappa Moily,INC,424800,B N Bache Gowda,BJP,415280,9520,2014
192,192,Karnataka,28,Kolar,GEN,K.H.Muniyappa,INC,418926,Kolar Kesava,JD(S),371076,47850,2014
193,193,Kerala,1,Kasaragod,GEN,P Karunakaran,CPM,384964,Adv. T Siddique,INC,378043,6921,2014
194,194,Kerala,2,Kannur,GEN,P K Sreemathi Teacher,CPM,427622,K Sudhakaran,INC,421056,6566,2014
195,195,Kerala,3,Vatakara,GEN,Mullappally Ramachandran,INC,416479,Adv.A.N.Shamseer,CPM,413173,3306,2014
196,196,Kerala,4,Wayanad,GEN,M I Shanavas,INC,377035,Sathyan Mokeri,CPI,356165,20870,2014
197,197,Kerala,5,Kozhikode,GEN,M .K Raghavan,INC,397615,A.Vijayaraghavan,CPM,380732,16883,2014
198,198,Kerala,6,Malappuram,GEN,E. Ahamed,IUML,437723,P.K.Sainaba,CPM,242984,194739,2014
199,199,Kerala,7,Ponnani,GEN,E. T. Mohammed Basheer,IUML,378503,V.Abdurahman,IND,353093,25410,2014
200,200,Kerala,8,Palakkad,GEN,M B Rajesh,CPM,412897,M P Veerendrakumar,SJ(D),307597,105300,2014
