,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
111,111,Bihar,50,Jamshedpur,GEN,Abha Mahato,F,BJP,285232,Ghanashyam Mahato,M,INC,163744,121488,1999
112,112,Bihar,51,Singhbhum,ST,Laxman Gilua,M,BJP,231237,Vijay Singh Soy,M,INC,148926,82311,1999
113,113,Bihar,52,Khunti,ST,Kariya Munda,M,BJP,187484,Sushila Kerketta,M,INC,161222,26262,1999
114,114,Bihar,53,Lohardaga,ST,Dukha Bhagat,M,BJP,163658,Indra Nath Bhagat,M,INC,159835,3823,1999
115,115,Bihar,54,Palamu,SC,Braj Mohan Ram,M,BJP,271657,Jorawar Ram,M,RJD,186532,85125,1999
116,116,Goa,1,Panaji,GEN,Shripad Yasso Naik,M,BJP,104958,Khalap Ramakant,M,INC,68237,36721,1999
117,117,Goa,2,Mormugao,GEN,Angle Ramakant Soiru,M,BJP,106064,Alemao Joaquim Braz,M,INC,91607,14457,1999
118,118,Gujarat,1,Kutch,GEN,Gadhvi Pushpadan Sambhudan,M,BJP,191533,Babubhai Meghji Shah,M,INC,187218,4315,1999
119,119,Gujarat,2,Surendranagar,GEN,Makwana Savshibhai Kanjibhai,M,INC,244368,Dave Bhavnaben Kardamkumar,M,BJP,218463,25905,1999
120,120,Gujarat,3,Jamnagar,GEN,Koradiya Chandreshbhai Valjibhai (Chandresh Patel),M,BJP,190726,Patel Raghavji Hansrajbhai,M,INC,154957,35769,1999
121,121,Gujarat,4,Rajkot,GEN,Dr Kathiriya Vallabhbhai Ramjibhai,M,BJP,312941,Radadiya Vithalbhai Hansarajbhai,M,INC,226194,86747,1999
122,122,Gujarat,5,Porbandar,GEN,Javiya Gordhanbhai Jadavbhai,M,BJP,210627,Manvar Balvantbhai Bachubhai,M,INC,109267,101360,1999
123,123,Gujarat,6,Junagadh,GEN,Chikhaliya Bhavnaben Devrajbhai,F,BJP,266809,Chavda Pethaljibhai Nathabhai,M,INC,219961,46848,1999
124,124,Gujarat,7,Amreli,GEN,Dileep Sanghani,M,BJP,217670,Virjibhai Thummar,M,INC,181346,36324,1999
125,125,Gujarat,8,Bhavnagar,GEN,Rana Rajendrasinh Ghanshyamsinh (Rajubhai Rana),M,BJP,265446,Gohil Dilipsinh Ajitsinh (Dilipsinh Gohil),M,INC,164093,101353,1999
126,126,Gujarat,9,Dhandhuka,SC,Varma Ratilal Kalidas,M,BJP,229754,Manubhai Parmar,M,INC,224531,5223,1999
127,127,Gujarat,10,Ahmedabad,GEN,Harin Pathak,M,BJP,280696,Girish Popatlal Dani    (Girish Dani),M,INC,227728,52968,1999
128,128,Gujarat,11,Gandhinagar,GEN,Lal Krishna Advani (L K Advani),M,BJP,453229,T N Seshan,M,INC,264285,188944,1999
129,129,Gujarat,12,Mehsana,GEN,Patel Atmaram Maganbhai,M,INC,340445,Dr A K Patel,M,BJP,284710,55735,1999
130,130,Gujarat,By Polls (2002),Mehsana,GEN,Thakor Punjaji Sadaji,M,BJP,485558,Patel Maneklal Madhavlal,M,INC,384988,100570,1999
131,131,Gujarat,13,Patan,SC,Rashtrapal Pravinchandra Somabhai,M,INC,246798,Kanodia Maheshkumar  Mithabhai,M,BJP,229671,17127,1999
132,132,Gujarat,14,Banaskantha,GEN,Chaudhary Haribhai Parthibhai,M,BJP,308313,B K Gadhvi,M,INC,282337,25976,1999
133,133,Gujarat,15,Sabarkantha,GEN,Nisha Amarsinh Chaudhary,F,INC,334565,Patel Kanubhai Ravjibhai,M,BJP,320189,14376,1999
134,134,Gujarat,By Polls (2001),Sabarkantha,GEN,Mistry Madhusudan Devram,M,INC,265209,Upendra Trivedi,M,BJP,244400,20809,1999
135,135,Gujarat,16,Kapadvanj,GEN,Vaghela Shankarsinh Laxmansinh,M,INC,413193,Chauhan Jaysinhji Manshingji,M,BJP,247812,165381,1999
136,136,Gujarat,17,Dohad,ST,Katara Babubhai Khimabhai,M,BJP,232288,Somjibhai Damor,M,INC,219857,12431,1999
