,Unnamed: 0.1,Unnamed: 0,State,Name,Type,Winning Candidate,Winning Party,Winning Percentage,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Percentage,Runner Up Votes,Margin %,Margin Votes
305,305,305,Rajasthan,Jhunjhunu,GEN,Brijendra Singh Ola,INC,49,553168,Shubhkaran Choudhary,BJP,47,534933,1,18235
306,306,306,Rajasthan,Sikar,GEN,Amra Ram,CPI(M),50,659300,Sumedhanand Saraswati,BJP,45,586404,5,72896
307,307,307,Rajasthan,Jaipur Rural,GEN,Rao Rajendra Singh,BJP,48,617877,Anil Chopra,INC,48,616262,0,1615
308,308,308,Rajasthan,Jaipur,GEN,Manju Sharma,BJP,60,886850,Pratap Singh Khachariyawas,INC,37,555083,22,331767
309,309,309,Rajasthan,Alwar,GEN,Bhupender Yadav,BJP,50,631992,Lalit Yadav,INC,46,583710,3,48282
310,310,310,Rajasthan,Bharatpur,SC,Sanjana Jatav,INC,51,579890,Ramswaroop Koli,BJP,46,527907,4,51983
311,311,311,Rajasthan,Karauli‑Dholpur,SC,Bhajan Lal Jatav,INC,53,530011,Indu Devi,BJP,43,431066,10,98945
312,312,312,Rajasthan,Dausa,ST,Murari Lal Meena,INC,60,646266,Kanhaiya Lal Meena,BJP,38,408926,22,237340
313,313,313,Rajasthan,Tonk‑Sawai Madhopur,GEN,Harish Chandra Meena,INC,50,623763,Sukhbir Singh Jaunapuria,BJP,45,558814,5,64949
314,314,314,Rajasthan,Ajmer,GEN,Bhagirath Choudhary,BJP,62,747462,Ramchandra Choudhary,INC,34,417471,27,329991
315,315,315,Rajasthan,Nagaur,GEN,Hanuman Beniwal,RLP,48,596955,Jyoti Mirdha,BJP,44,554730,3,42225
316,316,316,Rajasthan,Pali,GEN,P. P. Chaudhary,BJP,55,757389,Sangeeta Beniwal,INC,37,512038,18,245351
317,317,317,Rajasthan,Jodhpur,GEN,Gajendra Singh Shekhawat,BJP,52,730056,Karan Singh Unchiyarda,INC,44,614379,8,115677
318,318,318,Rajasthan,Barmer,GEN,Ummeda Ram Beniwal,INC,41,704676,Ravindra Singh Bhati,Independent,34,586500,7,118176
319,319,319,Rajasthan,Jalore,SC,Lumbaram Choudhary,BJP,54,796783,Vaibhav Gehlot,INC,41,595240,13,201543
320,320,320,Rajasthan,Udaipur,ST,Manna Lal Rawat,BJP,49,738286,Tarachand Meena,INC,31,476678,17,261608
321,321,321,Rajasthan,Banswara,ST,Rajkumar Roat,BAP,50,820831,Mahendrajeet Singh Malviya,BJP,35,573777,15,247054
322,322,322,Rajasthan,Chittorgarh,GEN,Chandra Prakash Joshi,BJP,59,888202,Udailal Anjana,INC,33,498325,26,389877
323,323,323,Rajasthan,Rajsamand,GEN,Mahima Kumari Mewar,BJP,64,781203,Damodar Gurjar,INC,32,388980,32,392223
324,324,324,Rajasthan,Bhilwara,GEN,Damodar Agarwal,BJP,61,807640,C. P. Joshi,INC,34,453034,27,354606
325,325,325,Rajasthan,Kota,GEN,Om Birla,BJP,50,750496,Prahlad Gunjal,INC,47,708522,2,41974
326,326,326,Rajasthan,Jhalawar‑Baran,GEN,Dushyant Singh,BJP,60,865376,Urmila Jain,INC,34,494387,26,370989
327,327,327,Tamil Nadu,Chennai North,GEN,Kalanidhi Veeraswamy,DMK,55,497333,R. Manohar,AIADMK,17,158111,37,339222
328,328,328,Tamil Nadu,Chennai South,GEN,Thamizhachi Thangapandian,DMK,47,516628,Tamilisai Soundararajan,BJP,26,290683,20,225945
329,329,329,Tamil Nadu,Chennai Central,GEN,Dayanidhi Maran,DMK,56,413848,Vinoj,BJP,23,169159,33,244689
330,330,330,Tamil Nadu,Sriperumbudur,GEN,T. R. Baalu,DMK,52,758611,G. Premkumar,AIADMK,18,271582,33,487029
331,331,331,Tamil Nadu,Kancheepuram,SC,G. Selvam,DMK,46,586044,Rajasekar E.,AIADMK,28,364571,17,221473
